Program,Languages,Regulations,Organization,Responsible Instructor,Coordination,Part Of
Major 120 Latin Philology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Greek and Latin Philology,Carmen Cardelle,Fabian Zogg,Bachelor of Arts (RVO19)
Major 120 Slavonic Literatures and Linguistics,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Slavonic Languages and Literatures,Sylvia Sasse,Gianna Maria Giulia Frölicher,Bachelor of Arts (RVO19)
Major 120 Indian Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,David Chiavacci,Kathrin Ensinger,Bachelor of Arts (RVO19)
Major 120 Islamic Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,David Chiavacci,Kathrin Ensinger,Bachelor of Arts (RVO19)
Major 120 Eastern European Studies,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Sylvia Sasse,Daniel Ursprung,Bachelor of Arts (RVO19)
Major 120 Art History,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Art History,Bärbel Küster,Vera Isaiasz,Bachelor of Arts (RVO19)
Major 120 Musicology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Musicology,Inga Mai Groote,Esma Cerkovnik,Bachelor of Arts (RVO19)
Major 120 Film Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Film Studies,Daniel Johannes Wiegand,Matthias Brütsch,Bachelor of Arts (RVO19)
Major 120 Philosophy,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Philosophy,Katia Saporiti,Simon Berwert,Bachelor of Arts (RVO19)
Major 120 Popular Culture Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Social Anthropology and Cultural Studies,Bernhard Tschofen,Mischa Elias Gallati Zimmermann,Bachelor of Arts in Social Sciences (RVO 19)
Major 120 Political Science,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Political Science,Marco Steenbergen,Hanno Degner,Bachelor of Arts in Social Sciences (RVO 19)
Major 120 Social Anthropology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Social Anthropology and Cultural Studies,Ann Elisabeth Derks,Jan Patrick Heiss,Bachelor of Arts in Social Sciences (RVO 19)
Major 120 Sociology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Sociology,Jörg Rössel,Bettina Isengard,Bachelor of Arts in Social Sciences (RVO 19)
